Restaurant_Name,Rating,Cuisine_Type,Cost_for_One,Delivery_Time (min),OFF_offer,Url_link
Grameen Kulfi,4.6,"Ice Cream, Desserts",¹ 50.00,38,NA,https://www.zomato.com/bangalore/grameen-kulfi-koramangala-8th-block-bangalore/order
UBQ by Barbeque Nation,3.9,"North Indian, BBQ, Biryani, Street Food, Kebab, Beverages, Desserts",¹ 50.00,43,40% OFF,https://www.zomato.com/bangalore/ubq-by-barbeque-nation-ulsoor-bangalore/order
Nashville Fried Chicken - NFC,4.3,"American, Burger, Beverages, Desserts, Fast Food, Finger Food",¹ 50.00,54,   100 OFF,https://www.zomato.com/bangalore/nashville-fried-chicken-nfc-koramangala-7th-block-bangalore/order
Purani Dilli By Anand Sweets,4.2,"North Indian, Street Food, Mithai, Chinese, Pizza, Rolls",¹ 50.00,38,NA,https://www.zomato.com/bangalore/purani-dilli-by-anand-sweets-commercial-street-bangalore/order
Nammur Donne Biryani,4.2,"Biryani, South Indian",¹ 50.00,29,NA,https://www.zomato.com/bangalore/nammur-donne-biryani-frazer-town-bangalore/order
The Square By Cafe Coffee Day,4,"Cafe, Bakery, Tea, Shake, Beverages, Sandwich, Desserts",¹ 50.00,17,   100 OFF,https://www.zomato.com/bangalore/the-square-by-cafe-coffee-day-lavelle-road-bangalore/order
Protein Chef,3.7,"Healthy Food, North Indian, Sandwich, Salad",¹ 50.00,35,30% OFF,https://www.zomato.com/bangalore/protein-chef-shanti-nagar-bangalore/order
The Dessert Zone,3.5,"Desserts, Shake, Ice Cream, Bakery, Beverages",¹ 50.00,43,50% OFF,https://www.zomato.com/bangalore/the-dessert-zone-vasanth-nagar-bangalore/order
Rolls Kitchen,4.1,"Rolls, Burger, Sandwich",¹ 50.00,44,NA,https://www.zomato.com/bangalore/rolls-kitchen-rajajinagar/order
Daily Sushi,4.3,"Sushi, Japanese, Korean, Asian, Beverages",¹ 450.00,35,50% OFF,https://www.zomato.com/bangalore/daily-sushi-church-street-bangalore/order
Zomoz - The Momo Company,4.1,"Momos, Fast Food",¹ 450.00,60,   125 OFF,https://www.zomato.com/bangalore/zomoz-the-momo-company-basaveshwara-nagar-bangalore/order
Donne Biriyani Mane,3.8,"Biryani, South Indian",¹ 450.00,52,NA,https://www.zomato.com/bangalore/donne-biriyani-mane-koramangala-4th-block-bangalore/order
Smoke House Deli,4.3,"Continental, Italian, BBQ, Fast Food, Ice Cream, Salad, Desserts, Beverages",¹ 450.00,34,50% OFF,https://www.zomato.com/SmokeHouseDeli-LavelleRoad/order
Singh Da Punjabi Dhaba,4,"North Indian, Biryani",¹ 450.00,50,60% OFF,https://www.zomato.com/bangalore/singh-da-punjabi-dhaba-koramangala-7th-block-bangalore/order
Basaveshwarnagar Dosa Corner,4.3,South Indian,¹ 450.00,41,NA,https://www.zomato.com/bangalore/basaveshwarnagar-dosa-corner-basaveshwara-nagar/order
Roti Tawa Wala,4.2,"North Indian, Chinese, Salad, Seafood, Beverages",¹ 450.00,51,NA,https://www.zomato.com/bangalore/roti-tawa-wala-koramangala-5th-block-bangalore/order
Sandwich Guru,4,"Sandwich, Fast Food, Tea, Shake, Beverages",¹ 450.00,37,NA,https://www.zomato.com/bangalore/sandwich-guru-1-wilson-garden-bangalore/order
Mizo Kitchen,4.4,"North Eastern, Chinese",¹ 450.00,54,NA,https://www.zomato.com/bangalore/mizo-kitchen-koramangala-5th-block-bangalore/order
Cream Stone Ice Cream,4.1,"Ice Cream, Desserts, Shake, Beverages",¹ 450.00,42,NA,https://www.zomato.com/bangalore/cream-stone-ice-cream-frazer-town-bangalore/order
Kolkata Famous Kati Rolls,3.9,"Rolls, North Indian",¹ 450.00,44,NA,https://www.zomato.com/bangalore/kolkata-famous-kati-rolls-rt-nagar-bangalore/order
Art of Delight,4.6,"Ice Cream, Desserts, Waffle, Beverages",¹ 450.00,26,NA,https://www.zomato.com/bangalore/art-of-delight-residency-road/order
RB Food Point,3.8,"North Indian, Chinese, Biryani",¹ 100.00,65,NA,https://www.zomato.com/bangalore/rb-food-point-btm-bangalore/order
Savoury - Sea Shell Restaurant,4.1,"North Indian, Arabian, Chinese, Mughlai, Biryani, Desserts, Beverages",¹ 100.00,51,20% OFF,https://www.zomato.com/bangalore/savoury-sea-shell-restaurant-btm-bangalore/order
Puneri Katta,4.3,"Maharashtrian, Street Food, North Indian",¹ 100.00,57,NA,https://www.zomato.com/bangalore/puneri-katta-btm-bangalore/order
Huliyappa's Donne Biryani,4,"Biryani, South Indian",¹ 100.00,39,NA,https://www.zomato.com/bangalore/huliyappas-donne-biryani-rt-nagar/order
S R M Ambur Hot Dum Biriyani,4.1,"Biryani, South Indian",¹ 100.00,46,NA,https://www.zomato.com/bangalore/s-r-m-ambur-hot-dum-biriyani-btm-bangalore/order
Indian Chicken Biriyani Point,4.4,"Biryani, South Indian",¹ 100.00,42,NA,https://www.zomato.com/bangalore/indian-chicken-biriyani-point-vijay-nagar-bangalore/order
Seoul Mate Korean Burger,4,"Korean, Fast Food, Burger, Bubble Tea, Shake",¹ 100.00,43,40% OFF,https://www.zomato.com/bangalore/seoul-mate-korean-burger-commercial-street-bangalore/order
Sai Cafe Veg,4.2,"South Indian, Street Food",¹ 100.00,45,NA,https://www.zomato.com/bangalore/sai-cafe-veg-malleshwaram-bangalore/order
Gokul Veg,4.2,"North Indian, Chinese, Desserts, Beverages",¹ 100.00,47,   100 OFF,https://www.zomato.com/bangalore/gokul-veg-basavanagudi/order
Go Pizza,3.8,"Pizza, Fast Food",¹ 100.00,40,50% OFF,https://www.zomato.com/bangalore/go-pizza-church-street-bangalore/order
Iyer Mess,4.2,South Indian,¹ 100.00,40,NA,https://www.zomato.com/bangalore/iyer-mess-malleshwaram/order
Green Cravings,3.8,"Healthy Food, Steak, Sandwich, Continental, Beverages, Cafe",¹ 100.00,35,Everything @    159 only,https://www.zomato.com/bangalore/green-cravings-richmond-road-bangalore/order
Kunafa World,4.3,Desserts,¹ 200.00,47,NA,https://www.zomato.com/bangalore/kunafa-world-frazer-town-bangalore/order
Donne Biriyani Mane,4.2,"South Indian, Biryani",¹ 200.00,45,NA,https://www.zomato.com/bangalore/donne-biriyani-mane-basaveshwara-nagar/order
Chicking,3.7,"Fast Food, Burger, Pizza",¹ 200.00,47,NA,https://www.zomato.com/bangalore/chicking-1-rajajinagar-bangalore/order
Louis Burger,4.2,"Burger, Fast Food, Beverages, Desserts",¹ 200.00,54,   125 OFF,https://www.zomato.com/bangalore/louis-burger-koramangala-7th-block-bangalore/order
Ghee and Turmeric,4,"North Indian, Mughlai, Biryani",¹ 200.00,57,40% OFF,https://www.zomato.com/bangalore/ghee-and-turmeric-indiranagar-bangalore/order
Kullad Cafe,4,"North Indian, Fast Food",¹ 200.00,64,   250 OFF,https://www.zomato.com/bangalore/kullad-cafe-btm/order
Delicacy,4,"Chinese, Thai, Sichuan, Seafood",¹ 200.00,48,NA,https://www.zomato.com/bangalore/delicacy-frazer-town/order
Sardarji Londonwaley,4,"North Indian, Chinese, Mughlai, Biryani, Beverages",¹ 200.00,50,60% OFF,https://www.zomato.com/bangalore/sardarji-londonwaley-koramangala-7th-block-bangalore/order
Biryani Crafts,4,"Biryani, North Indian, Chinese, Seafood, Street Food",¹ 200.00,57,30% OFF,https://www.zomato.com/bangalore/biryani-crafts-btm-bangalore/order
Grand Paradise,3.4,"North Indian, Biryani, Mughlai, Seafood, Chinese, Street Food",¹ 200.00,64,NA,https://www.zomato.com/bangalore/grand-paradise-btm-bangalore/order
The Purple Pan,4.2,"North Indian, Mughlai, Oriental, Chinese, Rolls, Beverages",¹ 200.00,45,NA,https://www.zomato.com/thepurplepan/order
Raidan Restaurant,4.1,"North Indian, Arabian, Chinese, Shawarma, Sichuan, Mughlai",¹ 200.00,44,NA,https://www.zomato.com/bangalore/raidan-restaurant-rt-nagar-bangalore/order
1947,4.2,"North Indian, Chinese, Biryani, Italian, Street Food, Salad, Desserts, Beverages",¹ 300.00,46,NA,https://www.zomato.com/bangalore/1947-malleshwaram/order
New Prashanth Hotel,4.3,"Biryani, South Indian, Kebab, Mughlai",¹ 300.00,64,   100 OFF,https://www.zomato.com/bangalore/new-prashanth-hotel-banashankari/order
Thenga Manga By Chef Pillai,3.9,"South Indian, Kerala",¹ 300.00,35,Free Tender Coconut Water,https://www.zomato.com/bangalore/thenga-manga-by-chef-pillai-brigade-road-bangalore/order
Biriyani Mane,4.2,"Biryani, Chinese, North Indian, Mughlai, Kebab",¹ 300.00,59,NA,https://www.zomato.com/bangalore/biriyani-mane-jayanagar-bangalore/order
Banchharam's,4.4,"Mithai, Street Food",¹ 300.00,44,NA,https://www.zomato.com/bangalore/banchharams-ulsoor-bangalore/order
Indraprastha Restaurant,4.2,"South Indian, North Indian, Chinese, Biryani",¹ 300.00,47,NA,https://www.zomato.com/bangalore/indraprastha-restaurant-vijay-nagar/order
No.10 Fort Cochin,4.2,"Seafood, Kerala, South Indian",¹ 300.00,34,NA,https://www.zomato.com/bangalore/no-10-fort-cochin-shanti-nagar-bangalore/order
You Mee,4,"Asian, Sushi, Japanese, Chinese, Desserts, Beverages",¹ 300.00,59,   175 OFF,https://www.zomato.com/bangalore/you-mee-malleshwaram-bangalore/order
A1 Ambur Chicken Biriyani Point,4,"Biryani, Tamil, Kebab",¹ 300.00,43,NA,https://www.zomato.com/bangalore/a1-ambur-chicken-biriyani-point-yeshwantpur-bangalore/order
Taj Hotel,4.1,"North Indian, Mughlai, Chinese, South Indian, Afghan",¹ 300.00,34,NA,https://www.zomato.com/bangalore/taj-hotel-shivajinagar/order
Razakhiya Hotel And Family Restaurant,4,"Rolls, Chinese, North Indian, Seafood, Biryani, Sichuan",¹ 300.00,56,   125 OFF,https://www.zomato.com/bangalore/razakhiya-hotel-and-family-restaurant-hbr-layout-bangalore/order
Bengali Fun Foods,4.3,"Bengali, North Indian, Biryani, Rolls",¹ 300.00,57,NA,https://www.zomato.com/bangalore/bengali-fun-foods-btm-bangalore/order
Sagar Hotel,4.3,"North Indian, Chinese, Street Food, Fast Food, South Indian, Juices, Beverages",¹ 150.00,45,NA,https://www.zomato.com/bangalore/sagar-hotel-rajajinagar/order
Hotel Karavali Food Point,3.7,"Mangalorean, South Indian, North Indian, Chinese",¹ 150.00,49,NA,https://www.zomato.com/bangalore/hotel-karavali-food-point-vijay-nagar/order
Donne Biryani Kote,3.7,"Biryani, South Indian",¹ 150.00,49,NA,https://www.zomato.com/bangalore/donne-biryani-kote-koramangala-2nd-block-bangalore/order
Castle Mandi And BBQ'S,3.9,"North Indian, Chinese, Biryani",¹ 150.00,52,NA,https://www.zomato.com/bangalore/castle-mandi-and-bbqs-btm-bangalore/order
Swiss Cream,3.9,"Ice Cream, Waffle, Desserts, Sandwich, Shake, Beverages",¹ 150.00,39,20% OFF,https://www.zomato.com/bangalore/swiss-cream-shanti-nagar-bangalore/order
Vishnu Garden,4.2,"South Indian, North Indian, Chinese, Fast Food, Street Food, Ice Cream, Beverages, Shake",¹ 150.00,35,NA,https://www.zomato.com/bangalore/vishnu-garden-rt-nagar/order
Veg Meals by Lunchbox,4.2,"North Indian, Biryani",¹ 150.00,42,60% OFF,https://www.zomato.com/bangalore/veg-meals-by-lunchbox-shanti-nagar-bangalore/order
OOttupura,4.2,"Kerala, South Indian, Seafood, Chinese",¹ 150.00,49,NA,https://www.zomato.com/bangalore/oottupura-btm-bangalore/order
O4H - Order For Health,4.4,"Healthy Food, Salad, Beverages",¹ 150.00,56,30% OFF,https://www.zomato.com/bangalore/o4h-order-for-health-btm-bangalore/order
"Ovenfresh Pizzas, Cakes and Desserts",4,"Bakery, Desserts, Ice Cream, Mithai, Beverages, Pizza",¹ 150.00,61,40% OFF,https://www.zomato.com/bangalore/ovenfresh-pizzas-cakes-and-desserts-indiranagar-bangalore/order
Krishnam Veg,4,"South Indian, North Indian, Chinese, Biryani, Street Food, Fast Food, Ice Cream, Beverages",¹ 150.00,26,Flat 20% OFF,https://www.zomato.com/bangalore/krishnam-veg-shanti-nagar-bangalore/order
Bikaner Sweets,3.7,"Fast Food, Street Food, North Indian, Desserts, Beverages",¹ 150.00,39,NA,https://www.zomato.com/bangalore/bikaner-sweets-majestic-bangalore/order
Dose Camp Since 1990,4.3,"South Indian, Street Food, Beverages, North Indian",¹ 200.00,31,40% OFF,https://www.zomato.com/bangalore/dose-camp-since-1990-malleshwaram-bangalore/order
Kolkata Sholoana,3.8,"Bengali, Rolls",¹ 250.00,59,50% OFF,https://www.zomato.com/bangalore/kolkata-sholoana-btm-bangalore/order
Marwadi Chaat Tiffin Services,3.6,"North Indian, Chinese",¹ 200.00,60,   175 OFF,https://www.zomato.com/bangalore/marwadi-chaat-tiffin-services-rajajinagar-bangalore/order
Kottayam The Restaurant,3.9,"Kerala, Seafood, South Indian, North Indian, Chinese, Biryani",¹ 350.00,56,30% OFF,https://www.zomato.com/bangalore/kottayam-the-restaurant-koramangala-5th-block-bangalore/order
Juice Junction,4.1,"Beverages, Juices, Fast Food, Shake",¹ 100.00,46,NA,https://www.zomato.com/bangalore/juice-junction-1-basavanagudi-bangalore/order
By 2 Coffee,4.4,South Indian,¹ 100.00,34,NA,https://www.zomato.com/bangalore/by-2-coffee-basavanagudi-bangalore/order
Mealful Rolls - India's Biggest Rolls,4.4,"Rolls, Wraps, North Indian, Fast Food, Desserts, Beverages",¹ 200.00,27,50% OFF,https://www.zomato.com/bangalore/mealful-rolls-indias-biggest-rolls-langford-town-bangalore/order
Koriken,4.3,"Korean, Asian, Burger",¹ 200.00,43,NA,https://www.zomato.com/bangalore/koriken-2-frazer-town-bangalore/order
Punjab Grill,4.1,"North Indian, Kebab, Biryani, Mughlai",¹ 800.00,40,   175 OFF,https://www.zomato.com/bangalore/punjab-grill-brigade-road-bangalore/order
Bhattara Bhojana,4.3,South Indian,¹ 40.00,44,NA,https://www.zomato.com/bangalore/bhattara-bhojana-banashankari/order
Trattoria by Toscano,4.1,"Pizza, Italian, Pasta, Continental, Desserts, Healthy Food, Beverages, Steak",¹ 300.00,34,40% OFF,https://www.zomato.com/bangalore/trattoria-by-toscano-church-street-bangalore/order
Five Star New Ambur Biryani,3.4,"Biryani, Fast Food, South Indian",¹ 150.00,53,NA,https://www.zomato.com/bangalore/five-star-new-ambur-biryani-btm-bangalore/order
The Momo Co.,4,"Momos, Chinese",¹ 250.00,58,Flat 20% OFF,https://www.zomato.com/bangalore/the-momo-co-hosur-road-bangalore/order
7 Plates,4.1,"North Indian, Mughlai, Arabian, Chinese, Seafood",¹ 250.00,40,NA,https://www.zomato.com/bangalore/7-plates-rt-nagar/order
Dunkin' - Donuts & Coffee,4.1,"Desserts, Coffee",¹ 250.00,34,40% OFF,https://www.zomato.com/bangalore/dunkin-donuts-coffee-cunningham-road-bangalore/order
Madras Meal Company,4.2,"South Indian, Chettinad, Tamil",¹ 250.00,40,20% OFF,https://www.zomato.com/bangalore/madras-meal-company-seshadripuram-bangalore/order
Agrawal's Kitchen,4,"North Indian, Biryani",¹ 250.00,63,50% OFF,https://www.zomato.com/bangalore/agrawals-kitchen-btm-bangalore/order
Nagarjuna Chimney,4.2,"Andhra, Biryani, North Indian, Desserts, Beverages",¹ 250.00,50,NA,https://www.zomato.com/bangalore/nagarjuna-chimney-jayanagar/order
Shiv Sagar Signature,4.1,"Sandwich, Pasta",¹ 250.00,47,NA,https://www.zomato.com/bangalore/shiv-sagar-signature-basavanagudi-bangalore/order
Nano Duzi,4.1,"Chinese, Thai",¹ 250.00,52,NA,https://www.zomato.com/bangalore/nano-duzi-hosur-road-bangalore/order
Kulfi Shulfi - Bombay Kulfis,4.3,"Ice Cream, Desserts",¹ 250.00,24,NA,https://www.zomato.com/bangalore/kulfi-shulfi-bombay-kulfis-shanti-nagar-bangalore/order
Madno - House of Sundaes,3.9,"Ice Cream, Desserts, Shake",¹ 250.00,30,20% OFF,https://www.zomato.com/bangalore/madno-house-of-sundaes-brigade-road-bangalore/order
ITC Sunfeast Baked Creations,4.5,"Bakery, Beverages, Cafe, Desserts, Sandwich, Shake",¹ 250.00,38,30% OFF,https://www.zomato.com/bangalore/itc-sunfeast-baked-creations-commercial-street-bangalore/order
Hyderabadi Biryani Hub,4,"Hyderabadi, North Indian, Chinese, Mughlai, Biryani, Kebab, Ice Cream, Desserts",¹ 250.00,54,Flat 10% OFF,https://www.zomato.com/bangalore/hyderabadi-biryani-hub-btm/order
Sri Udupi Grand,4.2,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake",¹ 100.00,24,20% OFF,https://www.zomato.com/bangalore/sri-udupi-grand-shanti-nagar/order
Momo Zone - The Momo Company,3.9,"Momos, Tibetan, Chinese",¹ 100.00,40,60% OFF,https://www.zomato.com/bangalore/momo-zone-the-momo-company-vasanth-nagar-bangalore/order
Rolls Kitchen,4.2,"Rolls, Burger, Sandwich",¹ 100.00,22,NA,https://www.zomato.com/bangalore/rolls-kitchen-langford-town-bangalore/order
Falhari - A Fruitful Habit,4.4,"Healthy Food, Desserts, Beverages, Juices",¹ 100.00,50,Flat 30% OFF,https://www.zomato.com/bangalore/falhari-a-fruitful-habit-hosur-road-bangalore/order
Burger Seigneur,4.3,"Burger, American, Continental, Fast Food, Desserts, Coffee, Cafe, Beverages",¹ 100.00,32,   100 OFF,https://www.zomato.com/bangalore/burger-seigneur-church-street-bangalore/order
Nando's- Flame Grilled PERi- PERi Chicken,4.2,"Burger, Healthy Food, Portuguese, Desserts",¹ 100.00,40,   100 OFF,https://www.zomato.com/bangalore/nandos-flame-grilled-peri-peri-chicken-brigade-road-bangalore/order
Kabab Biryani Corner,3.7,"South Indian, Chinese, North Indian, Biryani, Kebab, Momos, Rolls",¹ 100.00,42,20% OFF,https://www.zomato.com/bangalore/kabab-biryani-corner-richmond-road-bangalore/order
La Heaven,4.1,Desserts,¹ 100.00,53,NA,https://www.zomato.com/bangalore/la-heaven-frazer-town-bangalore/order
XO Belgian Waffle,4.2,"Waffle, Desserts, Shake, Beverages",¹ 100.00,49,30% OFF,https://www.zomato.com/bangalore/xo-belgian-waffle-koramangala-5th-block/order
Shuchi Ruchi,3.9,"South Indian, North Indian, Chinese",¹ 100.00,53,   250 OFF,https://www.zomato.com/bangalore/shuchi-ruchi-malleshwaram/order
Sunkish Cafe,3.7,"Pizza, Burger, Sandwich, Fast Food, Momos, Shake, Tea, Beverages",¹ 100.00,43,NA,https://www.zomato.com/bangalore/sunkish-cafe-1-rajajinagar-bangalore/order
Abhiruchi Hotel,3.6,"Andhra, Biryani, North Indian, Chinese",¹ 100.00,68,15% OFF,https://www.zomato.com/bangalore/abhiruchi-hotel-btm-bangalore/order
Adya Nati Style,3.9,"South Indian, Mughlai, Biryani",¹ 200.00,55,NA,https://www.zomato.com/bangalore/adya-nati-style-vijay-nagar-bangalore/order
Sattvam,4,"Chinese, Continental",¹ 200.00,53,NA,https://www.zomato.com/bangalore/sattvam-sadashiv-nagar/order
Andhra Kitchen,3.9,"Andhra, Biryani",¹ 200.00,44,NA,https://www.zomato.com/bangalore/andhra-kitchen-btm/order
IGP Cakes,4.2,"Bakery, Desserts, Mithai",¹ 200.00,40,60% OFF,https://www.zomato.com/bangalore/igp-cakes-wilson-garden-bangalore/order
BIGGUYS Wings & More,3.9,"Burger, American, Fast Food, Wraps, Beverages, Shake",¹ 200.00,61,   150 OFF,https://www.zomato.com/bangalore/bigguys-wings-more-btm-bangalore/order
Karavali Fine Dine,4.3,"North Indian, Biryani, Mughlai, Seafood, Chinese, Hyderabadi",¹ 200.00,47,20% OFF,https://www.zomato.com/bangalore/karavali-fine-dine-koramangala-7th-block-bangalore/order
Cupcake Bliss Cakes & Desserts,4,"Bakery, Desserts, Ice Cream, Shake",¹ 200.00,40,50% OFF,https://www.zomato.com/bangalore/cupcake-bliss-cakes-desserts-vasanth-nagar-bangalore/order
Dal Roti,3.8,"North Indian, Chinese",¹ 200.00,63,Free Gulab Jamun [1 Piece],https://www.zomato.com/bangalore/dal-roti-jp-nagar/order
Homely Aromas,4.5,"North Indian, Chinese",¹ 200.00,55,Flat 30% OFF,https://www.zomato.com/bangalore/homely-aromas-koramangala-2nd-block-bangalore/order
Indiana Burgers,3.8,"Burger, American, Fast Food, Desserts, Shake, Beverages",¹ 200.00,43,60% OFF,https://www.zomato.com/bangalore/indiana-burgers-vasanth-nagar-bangalore/order
Raj Donne Biriyani Mane,4.2,"South Indian, Biryani",¹ 200.00,45,30% OFF,https://www.zomato.com/bangalore/raj-donne-biriyani-mane-rajajinagar-bangalore/order
Haldiram's Sweets and Namkeen,4,"Mithai, South Indian, North Indian, Sandwich, Street Food, Biryani, Beverages",¹ 200.00,47,NA,https://www.zomato.com/bangalore/haldirams-sweets-and-namkeen-malleshwaram-bangalore/order
Upahara Darshini,4.3,"South Indian, North Indian, Fast Food, Street Food, Ice Cream, Beverages, Chinese",¹ 100.00,48,NA,https://www.zomato.com/bangalore/upahara-darshini-jayanagar/order
Pizza House,4.2,"Pizza, Fast Food, Burger",¹ 100.00,49,NA,https://www.zomato.com/bangalore/pizza-house-1-rt-nagar-bangalore/order
Pizza House,4.3,"Burger, Pizza, Street Food, Fast Food, Shake, Beverages, Ice Cream",¹ 100.00,46,NA,https://www.zomato.com/bangalore/pizza-house-frazer-town-bangalore/order
Biryani Canteen,4.2,"Biryani, North Indian, Chinese",¹ 100.00,43,NA,https://www.zomato.com/bangalore/biryani-canteen-rajajinagar-bangalore/order
Harley's Fine Baking,4.3,"Bakery, Desserts",¹ 100.00,58,NA,https://www.zomato.com/bangalore/harleys-fine-baking-koramangala-7th-block-bangalore/order
KC Das,4.2,"Mithai, Street Food, Mishti, Bengali",¹ 100.00,25,NA,https://www.zomato.com/bangalore/kc-das-st-marks-road-bangalore/order
Caterspoint,4.3,"Sandwich, Salad, Healthy Food, Italian, Fast Food, Continental, Desserts, Beverages",¹ 100.00,54,30% OFF,https://www.zomato.com/bangalore/caterspoint-indiranagar-bangalore/order
Ganesh Food Joint,4.2,"South Indian, North Indian, Chinese, Fast Food, Desserts, Beverages",¹ 100.00,34,Free Kesari Bath,https://www.zomato.com/bangalore/ganesh-food-joint-frazer-town/order
Kaati Zone Rolls and Wraps,3.7,"Rolls, Wraps, Fast Food, Desserts, Shake, Beverages",¹ 100.00,38,60% OFF,https://www.zomato.com/bangalore/kaati-zone-rolls-and-wraps-vasanth-nagar-bangalore/order
Ryu Ramen Co.,4.2,Japanese,¹ 100.00,68,   200 OFF,https://www.zomato.com/bangalore/ryu-ramen-co-koramangala-6th-block-bangalore/order
Hotel Annapoorna,4.2,"Biryani, South Indian, North Indian, Street Food",¹ 100.00,38,NA,https://www.zomato.com/bangalore/hotel-annapoorna-majestic/order
Crusto's - Cheese Burst Pizza,4.3,"Healthy Food, Pizza, North Indian, Burger, Biryani, Chinese, Desserts, Beverages",¹ 100.00,39,50% OFF,https://www.zomato.com/bangalore/crustos-cheese-burst-pizza-vasanth-nagar-bangalore/order
ATH - All Things Healthy!,4.4,"Healthy Food, North Indian, Sandwich, Salad",¹ 150.00,35,30% OFF,https://www.zomato.com/bangalore/ath-all-things-healthy-shanti-nagar-bangalore/order
Chef Master,4.2,"Biryani, Seafood, Kerala, North Indian, South Indian, Chinese, Beverages",¹ 150.00,46,NA,https://www.zomato.com/bangalore/chef-master-jayanagar-bangalore/order
Murugan Cafe,4.4,"South Indian, Beverages",¹ 100.00,33,NA,https://www.zomato.com/bangalore/murugan-cafe-shanti-nagar-bangalore/order
Udupi Aatithya,4.2,"South Indian, North Indian, Chinese, Biryani",¹ 150.00,50,NA,https://www.zomato.com/bangalore/udupi-aatithya-btm-bangalore/order
Sukh Sagar,4.4,"South Indian, North Indian, Chinese",¹ 200.00,45,NA,https://www.zomato.com/bangalore/sukh-sagar-majestic/order
Shrinidhi Military Hotel,3.9,"South Indian, Biryani",¹ 150.00,46,NA,https://www.zomato.com/bangalore/shrinidhi-military-hotel-basavanagudi/order
Asha Food Camp,4.2,"Chinese, Sandwich, South Indian, North Indian, Desserts, Beverages",¹ 300.00,44,NA,https://www.zomato.com/bangalore/asha-food-camp-malleshwaram/order
Raata Multicuisine Restaurant,4,"South Indian, Arabian",¹ 150.00,53,NA,https://www.zomato.com/bangalore/raata-multicuisine-restaurant-basaveshwara-nagar-bangalore/order
NOTO - Ice Creams & Desserts,4.2,"Ice Cream, Desserts",¹ 100.00,29,20% OFF,https://www.zomato.com/bangalore/noto-ice-creams-desserts-richmond-road-bangalore/order
Blue Tokai Coffee Roasters,4.2,"Cafe, Coffee, Beverages",¹ 250.00,34,10% OFF,https://www.zomato.com/bangalore/blue-tokai-coffee-roasters-infantry-road-bangalore/order
Just Shawarma,4.1,"Shawarma, Fast Food, Beverages, Lebanese",¹ 150.00,49,20% OFF,https://www.zomato.com/bangalore/just-shawarma-jayanagar/order
RS Shiv Sagar,4.1,"North Indian, Chinese, Sandwich, Beverages, Desserts, South Indian, Street Food, Mexican",¹ 400.00,38,NA,https://www.zomato.com/bangalore/rs-shiv-sagar-mg-road/order
Taste Of Malabar,4.3,"Kerala, South Indian",¹ 150.00,50,NA,https://www.zomato.com/bangalore/taste-of-malabar-btm-bangalore/order
Restaurant Chef Pillai,4.2,Kerala,¹ 150.00,33,Free Seasonal Fresh Juices,https://www.zomato.com/bangalore/restaurant-chef-pillai-brigade-road-bangalore/order
Sri Srinivas Pork Hotel,3.2,Fast Food,¹ 150.00,43,NA,https://www.zomato.com/bangalore/sri-srinivas-pork-hotel-ejipura-bangalore/order
Hotel Karavali,4.1,"Mangalorean, Seafood, North Indian, South Indian, Chinese",¹ 150.00,31,NA,https://www.zomato.com/bangalore/hotel-karavali-residency-road-bangalore/order
Red Bucket Biryani,3.6,"Biryani, North Indian",¹ 150.00,51,NA,https://www.zomato.com/bangalore/red-bucket-biryani-btm-bangalore/order
Anand Sweets And Savouries,4.4,"Mithai, North Indian, Fast Food, Street Food",¹ 150.00,39,NA,https://www.zomato.com/bangalore/anand-sweets-and-savouries-1-rajajinagar-bangalore/order
Chinita Real Mexican Food,4.4,"Mexican, Salad, Desserts, Beverages",¹ 150.00,56,50% OFF,https://www.zomato.com/bangalore/chinita-real-mexican-food-indiranagar/order
Donne Biryani House,3.3,"Biryani, South Indian, Kebab",¹ 150.00,49,50% OFF,https://www.zomato.com/bangalore/donne-biryani-house-vijay-nagar-bangalore/order
Sagar Fast Food,4.2,"South Indian, North Indian, Street Food, Chinese, Beverages, Shake",¹ 150.00,53,NA,https://www.zomato.com/bangalore/sagar-fast-food-koramangala-8th-block/order
Bucket Biryani,4.2,"Biryani, North Indian, Mughlai, Chinese, Seafood, Kebab",¹ 150.00,29,NA,https://www.zomato.com/bangalore/bucket-biryani-brigade-road-bangalore/order
Keventers Ice Cream,4.2,"Ice Cream, Desserts",¹ 150.00,35,40% OFF,https://www.zomato.com/bangalore/keventers-ice-cream-brigade-road-bangalore/order
Thom's Bakery - Since 1970,4.4,"Bakery, Fast Food",¹ 150.00,43,20% OFF,https://www.zomato.com/bangalore/thoms-bakery-since-1970-frazer-town-bangalore/order
Swad Punjab Da,4.2,North Indian,¹ 200.00,56,NA,https://www.zomato.com/bangalore/swad-punjab-da-btm/order
Dawat Durbar,3.9,"North Indian, Chinese, Mughlai",¹ 200.00,43,25% OFF,https://www.zomato.com/bangalore/dawat-durbar-shivajinagar-bangalore/order
Udupi Sagar,3.8,"South Indian, North Indian, Chinese, Juices, Beverages, Shake",¹ 200.00,32,NA,https://www.zomato.com/bangalore/udupi-sagar-city-market-bangalore/order
Raghavendra Tiffin,4.1,"Chinese, South Indian",¹ 200.00,56,NA,https://www.zomato.com/bangalore/raghavendra-tiffin-koramangala-1st-block-bangalore/order
