Restaurant_Name,Rating,Cuisine_Type,Cost_for_One,Delivery_Time (min),OFF_offer,Url_link
Subway,3.8,"Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages",¹ 150.00,21,NA,https://www.zomato.com/bangalore/subway-lavelle-road/order
Kabab Magic,3.5,"North Indian, Biryani, Hyderabadi, Mughlai, Chinese, Rolls, Shawarma",¹ 150.00,28,NA,https://www.zomato.com/bangalore/kabab-magic-richmond-town-bangalore/order
BOX8 - Desi Meals,4.6,"North Indian, Biryani, Fast Food, Wraps, Ice Cream, Desserts, Beverages",¹ 250.00,33,50% OFF,https://www.zomato.com/bangalore/box8-desi-meals-shanti-nagar-bangalore/order
Nagarjuna - Since 1984,4.3,"Andhra, Biryani, South Indian",¹ 250.00,31,NA,https://www.zomato.com/bangalore/nagarjuna-since-1984-residency-road-bangalore/order
Imperial Restaurant - Since 1954,4.1,"North Indian, Mughlai, Chinese, Biryani, Seafood, Desserts, Shake, Beverages",¹ 250.00,29,NA,https://www.zomato.com/bangalore/imperial-restaurant-since-1954-residency-road-bangalore/order
Natural Ice Cream,4.5,"Ice Cream, Shake",¹ 250.00,20,NA,https://www.zomato.com/bangalore/natural-ice-cream-st-marks-road/order
Narmada Chain of Restaurants,4.3,"Biryani, Andhra, North Indian, Chinese, Mughlai, Beverages",¹ 250.00,50,NA,https://www.zomato.com/bangalore/narmada-chain-of-restaurants-koramangala-5th-block-bangalore/order
WOW! Momo,3.8,"Momos, Fast Food, Chinese, Tibetan, Sichuan, Beverages, Desserts",¹ 250.00,37,40% OFF,https://www.zomato.com/bangalore/wow-momo-church-street-bangalore/order
EatFit,4.2,"Healthy Food, Pizza, North Indian, Burger, Biryani, Chinese, Desserts, Beverages",¹ 250.00,33,40% OFF,https://www.zomato.com/bangalore/eatfit-vasanth-nagar-bangalore/order
Chicpet Donne Biriyani House,3.7,"Biryani, South Indian, Kebab",¹ 250.00,48,NA,https://www.zomato.com/bangalore/chicpet-donne-biriyani-house-koramangala-7th-block-bangalore/order
Sri Udupi Park,4.2,"South Indian, Chinese, Street Food, Beverages, North Indian, Shake",¹ 250.00,37,NA,https://www.zomato.com/bangalore/sri-udupi-park-residency-road/order
